row,name,instances,version_4,type,location,grade,completed,tried,details
18,Mindbender,1,0,Boulder,Grand Wall,7,1,1,"Version 2, V7 - Boulder"
19,Styx,1,0,Boulder,Grand Wall,7,1,1,"Version 2, V7 - Boulder"
20,Phantom Menace,3,1,Boulder,Paradise Valley,6,1,5,"Version 2, V6 - Boulder | Version 3, V6 - Boulder | Version 4, V6 - Boulder"
21,Sunshine and Lollipops,3,1,Boulder,Grand Wall,6,1,1,"Version 2, V6 - Boulder | Version 3, V6 - Boulder | Version 4, V6 - Boulder"
22,Bar Exam,1,1,Boulder,North Walls,6,1,1,"Version 4, V6 - Boulder"
23,Chicken Lips and Assholes,1,1,Boulder,North Walls,6,1,1,"Version 4, V6 - Boulder"
24,Minor Threat,1,1,Boulder,Grand Wall,6,1,1,"Version 4, V6 - Boulder"
25,The Land That Time Forgot,1,1,Boulder,North Walls,6,1,3,"Version 4, V6 - Boulder"
26,The Pit,1,1,Boulder,Powerline,6,1,1,"Version 4, V6 - Boulder"
27,No Holds Barred,1,0,Boulder,Grand Wall,6,1,1,"Version 3, V6 - Boulder"
28,Second Blood,1,0,Boulder,North Walls,6,1,1,"Version 3, V6 - Boulder"
29,The Tugger,1,0,Boulder,North Walls,6,1,1,"Version 3, V6 - Boulder"
30,Space Monkey,3,1,Boulder,North Walls,5,1,1,"Version 2, V5 - Boulder | Version 3, V5 - Boulder | Version 4, V5 - Boulder"
31,Swank Stretch,3,1,Boulder,Grand Wall,5,1,1,"Version 2, V5 - Boulder | Version 3, V5 - Boulder | Version 4, V5 - Boulder"
32,The Crystal Method,3,1,Boulder,Paradise Valley,5,1,1,"Version 2, V5 - Boulder | Version 3, V5 - Boulder | Version 4, V5 - Boulder"
33,The Hoop Wrangler,3,1,Boulder,Grand Wall,5,1,1,"Version 2, V5 - Boulder | Version 3, V5 - Boulder | Version 4, V5 - Boulder"
34,Tim's Sloper Problem,3,1,Boulder,Grand Wall,5,1,1,"Version 2, V5 - Boulder | Version 3, V5 - Boulder | Version 4, V5 - Boulder"
35,Timeless,3,1,Boulder,Grand Wall,5,1,1,"Version 2, V5 - Boulder | Version 3, V5 - Boulder | Version 4, V5 - Boulder"
36,Vigilante,3,1,Boulder,Smoke Bluffs,5,1,1,"Version 2, V5 - Boulder | Version 3, V5 - Boulder | Version 4, V5 - Boulder"
37,Viper,3,1,Boulder,Grand Wall,5,1,1,"Version 2, V5 - Boulder | Version 3, V5 - Boulder | Version 4, V5 - Boulder"
38,King for a Day,2,1,Boulder,North Walls,5,1,1,"Version 3, V5 - Boulder | Version 4, V5 - Boulder"
39,Japanese Cowboy,1,1,Boulder,North Walls,5,1,1,"Version 4, V5 - Boulder"
40,Prime Time Sit Down,1,1,Boulder,Murrin Park,5,1,1,"Version 4, V5 - Boulder"
41,It's About Time,2,0,Boulder,Grand Wall,5,1,1,"Version 2, V5 - Boulder | Version 3, V5 - Boulder"
42,Racing Ra,2,0,Boulder,Powerline,5,1,1,"Version 2, V5 - Boulder | Version 3, V5 - Boulder"
43,Thunderballs,1,0,Boulder,North Walls,5,1,1,"Version 2, V5 - Boulder"
44,Five Star Pillar,3,1,Boulder,Murrin Park,4.3,1,1,"Version 2, V5 - Boulder | Version 3, V4 - Boulder | Version 4, V4 - Boulder"
45,No Excuse For Porn Hair,3,1,Highball,Apron,4.3,1,1,"Version 2, V5 - Highball | Version 3, V4 - Highball | Version 4, V4 - Highball"
46,Child Abuse,3,1,Boulder,Grand Wall,4,1,1,"Version 2, V4 - Boulder | Version 3, V4 - Boulder | Version 4, V4 - Boulder"
47,Easy In An Easy Chair,3,1,Boulder,Grand Wall,4,1,1,"Version 2, V4 - Boulder | Version 3, V4 - Boulder | Version 4, V4 - Boulder"
48,Practical Horseman,3,1,Boulder,Grand Wall,4,1,1,"Version 2, V4 - Boulder | Version 3, V4 - Boulder | Version 4, V4 - Boulder"
49,Shadows,3,1,Boulder,Powerline,4,1,1,"Version 2, V4 - Boulder | Version 3, V4 - Boulder | Version 4, V4 - Boulder"
50,Shots Fired,3,1,Boulder,Apron,4,1,1,"Version 2, V4 - Boulder | Version 3, V4 - Boulder | Version 4, V4 - Boulder"
51,Sloppy Poppy,3,1,Boulder,Grand Wall,4,1,1,"Version 2, V4 - Boulder | Version 3, V4 - Boulder | Version 4, V4 - Boulder"
52,Superfly,3,1,Boulder,Grand Wall,4,1,1,"Version 2, V4 - Boulder | Version 3, V4 - Boulder | Version 4, V4 - Boulder"
53,Tai Fighter,3,1,Boulder,Paradise Valley,4,1,1,"Version 2, V4 - Boulder | Version 3, V4 - Boulder | Version 4, V4 - Boulder"
54,Trad Killer,3,1,Boulder,Grand Wall,4,1,1,"Version 2, V4 - Boulder | Version 3, V4 - Boulder | Version 4, V4 - Boulder"
55,Moroccan Blonde,1,1,Boulder,Shannon Falls,4,1,1,"Version 4, V4 - Boulder"
56,Zylon,1,1,Boulder,Paradise Valley,4,1,1,"Version 4, V4 - Boulder"
57,Butterfly Effect,2,0,Boulder,Grand Wall,4,1,1,"Version 2, V4 - Boulder | Version 3, V4 - Boulder"
58,Squamish Special,2,0,Boulder,Grand Wall,4,1,1,"Version 2, V4 - Boulder | Version 3, V4 - Boulder"
59,Flow Stone,1,0,Boulder,North Walls,4,1,1,"Version 3, V4 - Boulder"
60,Crackhead,3,1,Boulder,Grand Wall,3,1,1,"Version 2, V3 - Boulder | Version 3, V3 - Boulder | Version 4, V3 - Boulder"
61,Double Decker,3,1,Boulder,Grand Wall,3,1,1,"Version 2, V3 - Boulder | Version 3, V3 - Boulder | Version 4, V3 - Boulder"
62,Titanic,3,1,Boulder,Grand Wall,3,1,1,"Version 2, V3 - Boulder | Version 3, V3 - Boulder | Version 4, V3 - Boulder"
63,Tyler's Dihedral,3,1,Boulder,North Walls,3,1,1,"Version 2, V3 - Boulder | Version 3, V3 - Boulder | Version 4, V3 - Boulder"
64,21st Century Digital Boy,1,1,Boulder,Grand Wall,3,1,1,"Version 4, V3 - Boulder"
65,911,1,1,Highball,North Walls,3,1,1,"Version 4, V3 - Highball"
66,FAROUK!,1,1,Boulder,North Walls,3,1,1,"Version 4, V3 - Boulder"
67,American Gigolo,2,0,Boulder,Grand Wall,3,1,1,"Version 2, V3 - Boulder | Version 3, V3 - Boulder"
68,Old And Serious,2,0,Boulder,Grand Wall,3,1,1,"Version 2, V3 - Boulder | Version 3, V3 - Boulder"
69,Rhino Face,1,0,Boulder,North Walls,3,1,1,"Version 3, V3 - Boulder"
70,Heartbreak Hotel,3,1,Boulder,Grand Wall,2,1,1,"Version 2, V2 - Boulder | Version 3, V2 - Boulder | Version 4, V2 - Boulder"
71,Slingshot,3,1,Boulder,Grand Wall,2,1,1,"Version 2, V2 - Boulder | Version 3, V2 - Boulder | Version 4, V2 - Boulder"
72,Is It Pure?,2,1,Highball,North Walls,2,1,1,"Version 3, V2 - Highball | Version 4, V2 - Highball"
73,Dilaudid,1,1,Boulder,Shannon Falls,2,1,1,"Version 4, V2 - Boulder"
74,Lost World Overhang,1,1,Boulder,North Walls,2,1,1,"Version 4, V2 - Boulder"
75,Hulkster's Humpfest,2,0,Boulder,Grand Wall,2,1,1,"Version 2, V2 - Boulder | Version 3, V2 - Boulder"
76,Paperboy,2,0,Boulder,Grand Wall,2,1,1,"Version 2, V2 - Boulder | Version 3, V2 - Boulder"
77,Prime Time,2,0,Boulder,Murrin Park,2,1,1,"Version 2, V2 - Boulder | Version 3, V2 - Boulder"
78,Detached Flake,2,1,Boulder,North Walls,1,1,1,"Version 3, V1 - Boulder | Version 4, V1 - Boulder"
79,Nefarious,1,1,Boulder,Grand Wall,1,1,1,"Version 4, V1 - Boulder"
80,Dealer,1,1,Boulder,Grand Wall,0,1,1,"Version 4, V0 - Boulder"
81,Nick's Adventure,1,1,Boulder,North Walls,0,1,1,"Version 4, V0 - Boulder"
82,Fried Ant,2,0,Boulder,Grand Wall,0,1,1,"Version 2, V0 - Boulder | Version 3, V0 - Boulder"
83,Summer Vacation,2,0,Boulder->Highball,Grand Wall,0,1,1,"Version 2, V0 - Boulder | Version 3, V0 - Highball"
84,Dyke Surfer,1,0,Boulder,Grand Wall,0,1,1,"Version 3, V0 - Boulder"
85,Winding Down,1,0,Boulder,Smoke Bluffs,0,1,1,"Version 3, V0 - Boulder"
86,This Monkey's Gone to Heaven,3,1,Boulder,Apron,7,0,2,"Version 2, V7 - Boulder | Version 3, V7 - Boulder | Version 4, V7 - Boulder"
87,Superdyke,3,1,Boulder,Grand Wall,3,0,2,"Version 2, V3 - Boulder | Version 3, V3 - Boulder | Version 4, V3 - Boulder"
88,Peter and the Wolf,1,1,Boulder,British Columbia,9,0,1,"Version 4, V9 - Boulder"
89,Tatonka,1,1,Boulder,Apron,9,0,1,"Version 4, V9 - Boulder"
90,The Weasel,2,1,Boulder,Grand Wall,8,0,1,"Version 2, V8 - Boulder | Version 4, V8 - Boulder"
91,Planet of the Apes,1,1,Boulder,North Walls,8,0,1,"Version 4, V8 - Boulder"
92,Sheriff's Badge Arete,1,1,Boulder,North Walls,8,0,1,"Version 4, V8 - Boulder"
93,The Bulb,2,0,Boulder,Grand Wall,8,0,1,"Version 2, V8 - Boulder | Version 3, V8 - Boulder"
94,Majestic,1,1,Boulder,British Columbia,6,0,1,"Version 4, V6 - Boulder"
95,Whispering Waters,1,1,Highball,North Walls,6,0,1,"Version 4, V6 - Highball"
96,The Singularity,2,1,Boulder,Grand Wall,14,0,0,"Version 2, V14 - Boulder | Version 4, V14 - Boulder"
97,The Reckoning,1,0,Boulder,North Walls,14,0,0,"Version 3, V14 - Boulder"
98,Shelter,3,1,Boulder,Grand Wall,13,0,0,"Version 2, V13 - Boulder | Version 3, V13 - Boulder | Version 4, V13 - Boulder"
99,Black Magic,2,1,Boulder,Apron,12.5,0,0,"Version 2, V13 - Boulder | Version 4, V12 - Boulder"
100,The Method,3,1,Boulder,Apron,12.3,0,0,"Version 2, V12 - Boulder | Version 3, V13 - Boulder | Version 4, V12 - Boulder"
101,Frontside,2,1,Boulder,Apron,12,0,0,"Version 2, V12 - Boulder | Version 4, V12 - Boulder"
102,Summoning Sit,2,1,Boulder,Murrin Park,12,0,0,"Version 3, V12 - Boulder | Version 4, V12 - Boulder"
103,The Silk Road,1,0,Boulder,Shannon Falls,12,0,0,"Version 3, V12 - Boulder"
104,The Summoning,1,0,Boulder,Murrin Park,12,0,0,"Version 2, V12 - Boulder"
105,The Drowning Grip,2,1,Highball,Grand Wall,11.5,0,0,"Version 2, V12 - Highball | Version 4, V11 - Highball"
106,Agoraphobia,3,1,Boulder,Grand Wall,11,0,0,"Version 2, V11 - Boulder | Version 3, V11 - Boulder | Version 4, V11 - Boulder"
107,Encore Une Fois,3,1,Boulder,Grand Wall,11,0,0,"Version 2, V11 - Boulder | Version 3, V11 - Boulder | Version 4, V11 - Boulder"
108,The Egg,3,1,Boulder,Grand Wall,11,0,0,"Version 2, V11 - Boulder | Version 3, V11 - Boulder | Version 4, V11 - Boulder"
109,Black Hole,1,1,Boulder,Apron,11,0,0,"Version 4, V11 - Boulder"
110,The Black Council,1,1,Boulder,Grand Wall,11,0,0,"Version 4, V11 - Boulder"
111,The Existential Detective,1,0,Boulder,North Walls,11,0,0,"Version 2, V11 - Boulder"
112,The Serpent,3,1,Boulder,Apron,10,0,0,"Version 2, V10 - Boulder | Version 3, V10 - Boulder | Version 4, V10 - Boulder"
113,World Of Hurt,3,1,Highball,Grand Wall,10,0,0,"Version 2, V10 - Highball | Version 3, V10 - Highball | Version 4, V10 - Highball"
114,Worm World Cave Low,2,1,Boulder,Grand Wall,10,0,0,"Version 2, V10 - Boulder | Version 4, V10 - Boulder"
115,On Again Off Again,1,1,Boulder,Shannon Falls,10,0,0,"Version 4, V10 - Boulder"
116,White Lion Low,1,1,Boulder,Cat Lake,10,0,0,"Version 4, V10 - Boulder"
117,Send the Pain Below,2,0,Boulder,Grand Wall,10,0,0,"Version 2, V10 - Boulder | Version 3, V10 - Boulder"
118,The Broom,2,0,Highball,Grand Wall,10,0,0,"Version 2, V10 - Highball | Version 3, V10 - Highball"
119,No Honour Among Thieves,1,0,Boulder,North Walls,10,0,0,"Version 2, V10 - Boulder"
120,Snakes of Shoalin,1,0,Highball,Grand Wall,10,0,0,"Version 3, V10 - Highball"
121,Stalling Tim,1,0,Boulder,Grand Wall,10,0,0,"Version 2, V10 - Boulder"
122,The Physics,1,0,Boulder,Grand Wall,10,0,0,"Version 2, V10 - Boulder"
123,Velcro,1,0,Boulder,Grand Wall,10,0,0,"Version 2, V10 - Boulder"
124,No Troublems,3,1,Boulder,Grand Wall,9.7,0,0,"Version 2, V10 - Boulder | Version 3, V10 - Boulder | Version 4, V9 - Boulder"
125,Straight Outta' Squampton,3,1,Highball,Grand Wall,9.7,0,0,"Version 2, V9 - Highball | Version 3, V10 - Highball | Version 4, V10 - Highball"
126,Physics Hyperbole,3,1,Boulder,Grand Wall,9,0,0,"Version 2, V9 - Boulder | Version 3, V9 - Boulder | Version 4, V9 - Boulder"
127,Defender of the Faith,2,1,Boulder,Apron,9,0,0,"Version 2, V9 - Boulder | Version 4, V9 - Boulder"
128,Ivory Tower,1,1,Boulder,British Columbia,9,0,0,"Version 4, V9 - Boulder"
129,Krishna Cave,1,1,Boulder,North Walls,9,0,0,"Version 4, V9 - Boulder"
130,Tim's Arete,1,1,Boulder,North Walls,9,0,0,"Version 4, V9 - Boulder"
131,Chanterelle,1,0,Boulder,North Walls,9,0,0,"Version 3, V9 - Boulder"
132,Detention Arete,1,0,Boulder,North Walls,9,0,0,"Version 2, V9 - Boulder"
133,Invincible,1,0,Boulder,Porteau Cove,9,0,0,"Version 3, V9 - Boulder"
134,The Rookie Low,1,0,Boulder,Grand Wall,9,0,0,"Version 3, V9 - Boulder"
135,Corner Relief,3,1,Boulder,North Walls,8,0,0,"Version 2, V8 - Boulder | Version 3, V8 - Boulder | Version 4, V8 - Boulder"
136,Ride the Lightning,3,1,Highball,Grand Wall,8,0,0,"Version 2, V8 - Highball | Version 3, V8 - Highball | Version 4, V8 - Highball"
137,Sharma's Arete,3,1,Boulder,Grand Wall,8,0,0,"Version 2, V8 - Boulder | Version 3, V8 - Boulder | Version 4, V8 - Boulder"
138,Connect Four,2,1,Boulder,North Walls,8,0,0,"Version 2, V8 - Boulder | Version 4, V8 - Boulder"
139,Houdini,1,1,Boulder,North Walls,8,0,0,"Version 4, V8 - Boulder"
140,Snake Taint,1,1,Boulder,Smoke Bluffs,8,0,0,"Version 4, V8 - Boulder"
141,Second Story,2,0,Boulder,North Walls,8,0,0,"Version 2, V8 - Boulder | Version 3, V8 - Boulder"
142,As Good As It Gets,1,0,Boulder,Smoke Bluffs,8,0,0,"Version 2, V8 - Boulder"
143,Monkey In The Know,1,0,Boulder,Pemberton,8,0,0,"Version 2, V8 - Boulder"
144,The Roof Crack,1,0,Boulder,North Walls,8,0,0,"Version 3, V8 - Boulder"
145,White Lion,1,0,Boulder,Cat Lake,8,0,0,"Version 3, V8 - Boulder"
146,Black Slabbath,3,1,Highball,Grand Wall,7,0,0,"Version 2, V7 - Highball | Version 3, V7 - Highball | Version 4, V7 - Highball"
147,Feed Us a Fetus,3,1,Boulder,Grand Wall,7,0,0,"Version 2, V7 - Boulder | Version 3, V7 - Boulder | Version 4, V7 - Boulder"
148,The Fridge,3,1,Boulder,Paradise Valley,7,0,0,"Version 2, V7 - Boulder | Version 3, V7 - Boulder | Version 4, V7 - Boulder"
149,Pavelini,2,1,Boulder,Grand Wall,7,0,0,"Version 3, V7 - Boulder | Version 4, V7 - Boulder"
150,Loose Change,1,1,Highball,Grand Wall,7,0,0,"Version 4, V7 - Highball"
151,The Guppy,1,1,Boulder,Paradise Valley,7,0,0,"Version 4, V7 - Boulder"
152,Be On Four,2,0,Highball,Grand Wall,7,0,0,"Version 2, V7 - Highball | Version 3, V7 - Highball"
153,Arm Your Thoughts,1,0,Highball,North Walls,7,0,0,"Version 2, V7 - Highball"
154,Fantastic Mr. Fox,1,0,Boulder,Shannon Falls,7,0,0,"Version 3, V7 - Boulder"
155,Give Her The Chickens,1,0,Boulder,Pemberton,7,0,0,"Version 2, V7 - Boulder"
156,Raging Rapids,1,0,Highball,North Walls,7,0,0,"Version 3, V7 - Highball"
157,Slippery When Wet,1,0,Boulder,Shannon Falls,7,0,0,"Version 3, V7 - Boulder"
158,The Ladies Man,1,0,Boulder,Apron,7,0,0,"Version 2, V7 - Boulder"
159,The Snail,1,0,Highball,Grand Wall,7,0,0,"Version 3, V7 - Highball"
160,Teenage Lobotomy,3,1,Highball,Apron,6.3,0,0,"Version 2, V6 - Highball | Version 3, V6 - Highball | Version 4, V7 - Highball"
161,Dynamite,3,1,Boulder->Highball,Apron,6,0,0,"Version 2, V6 - Boulder | Version 3, V6 - Highball | Version 4, V6 - Highball"
162,Palm Meat,3,1,Boulder->Highball,Grand Wall,6,0,0,"Version 2, V6 - Boulder | Version 3, V6 - Boulder | Version 4, V6 - Highball"
163,Israel's Cave,2,1,Boulder,Murrin Park,6,0,0,"Version 3, V6 - Boulder | Version 4, V6 - Boulder"
164,Lost and Found,1,1,Highball,North Walls,6,0,0,"Version 4, V6 - Highball"
165,Stomach Acid,1,1,Boulder,Garibaldi,6,0,0,"Version 4, V6 - Boulder"
166,Worm World,1,1,Boulder,Grand Wall,6,0,0,"Version 4, V6 - Boulder"
167,Ghost Rider,2,0,Boulder,Apron,6,0,0,"Version 2, V6 - Boulder | Version 3, V6 - Boulder"
168,Killing Me Softly,2,0,Boulder,Apron,6,0,0,"Version 2, V6 - Boulder | Version 3, V6 - Boulder"
169,Spring Fling,2,0,Boulder,Paradise Valley,6,0,0,"Version 2, V6 - Boulder | Version 3, V6 - Boulder"
170,Disproving God,1,0,Boulder,Shannon Falls,6,0,0,"Version 3, V6 - Boulder"
171,Princesses Don't Whine,1,0,Boulder,Murrin Park,6,0,0,"Version 3, V6 - Boulder"
172,Funeral Arrangements,3,1,Highball,Apron,5.3,0,0,"Version 2, V5 - Highball | Version 3, V5 - Highball | Version 4, V6 - Highball"
173,Phat Slab,2,1,Boulder,Grand Wall,5,0,0,"Version 3, V5 - Boulder | Version 4, V5 - Boulder"
174,Doubt,1,1,Boulder,Grand Wall,5,0,0,"Version 4, V5 - Boulder"
175,Welcome to the Jungle,1,1,Highball,Murrin Park,5,0,0,"Version 4, V5 - Highball"
176,Into The Light,2,0,Boulder,Pemberton,5,0,0,"Version 2, V5 - Boulder | Version 3, V5 - Boulder"
177,Arch Enemy,1,0,Boulder,Smoke Bluffs,5,0,0,"Version 3, V5 - Boulder"
178,The Alpine Ridge,1,0,Highball,North Walls,5,0,0,"Version 3, V5 - Highball"
179,Kung Fu Fighter,3,1,Boulder->Highball,North Walls,4.3,0,0,"Version 2, V4 - Boulder | Version 3, V4 - Highball | Version 4, V5 - Highball"
180,Enchanted,3,1,Highball,Paradise Valley,4,0,0,"Version 2, V4 - Highball | Version 3, V4 - Highball | Version 4, V4 - Highball"
181,Skin Graft,3,1,Boulder,Grand Wall,4,0,0,"Version 2, V4 - Boulder | Version 3, V4 - Boulder | Version 4, V4 - Boulder"
182,Zero to Hero,2,1,Highball,Powerline,4,0,0,"Version 3, V4 - Highball | Version 4, V4 - Highball"
183,Ain't No Grave,1,1,Highball,Crumpit Woods,4,0,0,"Version 4, V4 - Highball"
184,The Mastodon,1,1,Highball,Shannon Falls,4,0,0,"Version 4, V4 - Highball"
185,Can't Do It In Shoes,1,0,Boulder,Whistler,4,0,0,"Version 2, V4 - Boulder"
186,Dig Up Her Bones,1,0,Highball,Smoke Bluffs,4,0,0,"Version 3, V4 - Highball"
187,The Reincarnation of Tim Doyle,1,0,Boulder,Porteau Cove,4,0,0,"Version 3, V4 - Boulder"
188,Wild Kingdom,3,1,Boulder,North Walls,3,0,0,"Version 2, V3 - Boulder | Version 3, V3 - Boulder | Version 4, V3 - Boulder"
189,For The Birds,2,1,Highball,Cat Lake,3,0,0,"Version 3, V3 - Highball | Version 4, V3 - Highball"
190,The Wing,1,1,Boulder,North Walls,3,0,0,"Version 4, V3 - Boulder"
191,Walk the Line,1,1,Highball,Crumpit Woods,3,0,0,"Version 4, V3 - Highball"
192,In Your Face,2,0,Boulder,Pemberton,3,0,0,"Version 2, V3 - Boulder | Version 3, V3 - Boulder"
193,Dirty Bird,1,0,Boulder,Murrin Park,3,0,0,"Version 3, V3 - Boulder"
194,Voltage,1,0,Highball,North Walls,3,0,0,"Version 3, V3 - Highball"
195,"Tall, Dark, and Handsome",2,1,Highball,Apron,2,0,0,"Version 3, V2 - Highball | Version 4, V2 - Highball"
196,Mutiny in the Friendship Brigade,1,1,Highball,North Walls,2,0,0,"Version 4, V2 - Highball"
197,Panda Milk,2,0,Boulder,Furry Creek,2,0,0,"Version 2, V2 - Boulder | Version 3, V2 - Boulder"
198,By Fair Means,1,0,Highball,North Walls,1,0,0,"Version 3, V1 - Highball"
